coverage_id,policy_id,coverage_type,limit,deductible,premium_component
CV-0011092,P-002044,medical_payments,5000.0,200,96.55
CV-0011093,P-002045,liability_bi,50000.0,200,54.08
CV-0011094,P-002045,liability_pd,25000.0,400,31.14
CV-0011095,P-002045,collision,15000.0,200,86.04
CV-0011096,P-002045,comprehensive,15000.0,800,107.47
CV-0011097,P-002045,uninsured_motorist,25000.0,0,80.25
CV-0011098,P-002045,medical_payments,5000.0,800,45.47
CV-0011099,P-002046,dwelling,100884.63,500,58.01
CV-0011100,P-002046,other_structures,10088.46,500,86.7
CV-0011101,P-002046,personal_property,20176.93,500,68.97
CV-0011102,P-002046,loss_of_use,10088.46,1500,89.03
CV-0011103,P-002046,personal_liability,100000.0,250,67.45
CV-0011104,P-002046,medical_payments,5000.0,500,72.11
CV-0011105,P-002047,liability_bi,50000.0,800,87.99
CV-0011106,P-002047,liability_pd,25000.0,800,109.5
CV-0011107,P-002047,collision,15000.0,800,100.09
CV-0011108,P-002047,comprehensive,15000.0,400,44.95
CV-0011109,P-002047,uninsured_motorist,25000.0,200,75.64
CV-0011110,P-002047,medical_payments,5000.0,200,71.5
CV-0011111,P-002048,dwelling,131644.64,500,66.13
CV-0011112,P-002048,other_structures,13164.46,1000,108.04
CV-0011113,P-002048,personal_property,26328.93,500,64.01
CV-0011114,P-002048,loss_of_use,13164.46,500,53.72
CV-0011115,P-002048,personal_liability,100000.0,250,45.73
CV-0011116,P-002048,medical_payments,5000.0,250,115.61
CV-0011117,P-002049,building,4792833.38,10000,376.87
CV-0011118,P-002049,contents,1883532.8,2500,671.7
CV-0011119,P-002049,business_interruption,1917133.35,10000,372.81
CV-0011120,P-002049,equipment_breakdown,958566.68,2500,997.97
CV-0011121,P-002049,liability,250000.0,10000,462.12
CV-0011122,P-002050,dwelling,78711.56,250,51.84
CV-0011123,P-002050,other_structures,7871.16,500,50.25
CV-0011124,P-002050,personal_property,15742.31,500,46.97
CV-0011125,P-002050,loss_of_use,7871.16,250,42.81
CV-0011126,P-002050,personal_liability,100000.0,500,53.56
CV-0011127,P-002050,medical_payments,5000.0,500,52.54
CV-0011128,P-002051,dwelling,152708.33,500,112.74
CV-0011129,P-002051,other_structures,15270.83,1000,80.78
CV-0011130,P-002051,personal_property,30541.67,500,51.32
CV-0011131,P-002051,loss_of_use,15270.83,500,131.6
CV-0011132,P-002051,personal_liability,100000.0,250,139.22
CV-0011133,P-002051,medical_payments,5000.0,250,94.04
CV-0011134,P-002052,liability_bi,50000.0,400,69.68
CV-0011135,P-002052,liability_pd,25000.0,400,79.34
CV-0011136,P-002052,collision,15000.0,400,59.96
CV-0011137,P-002052,comprehensive,15000.0,400,81.87
CV-0011138,P-002052,uninsured_motorist,25000.0,200,99.3
CV-0011139,P-002052,medical_payments,5000.0,400,57.44
CV-0011140,P-002053,dwelling,97247.99,1000,57.56
CV-0011141,P-002053,other_structures,9724.8,500,85.03
CV-0011142,P-002053,personal_property,19449.6,1500,110.59
CV-0011143,P-002053,loss_of_use,9724.8,500,40.76
CV-0011144,P-002053,personal_liability,100000.0,500,100.25
CV-0011145,P-002053,medical_payments,5000.0,500,37.95
CV-0011146,P-002054,liability_bi,50000.0,400,110.01
CV-0011147,P-002054,liability_pd,25000.0,400,72.58
CV-0011148,P-002054,collision,15000.0,400,81.18
CV-0011149,P-002054,comprehensive,15000.0,200,98.18
CV-0011150,P-002054,uninsured_motorist,25000.0,200,49.64
CV-0011151,P-002054,medical_payments,5000.0,200,35.56
CV-0011152,P-002055,liability_bi,50000.0,0,59.66
CV-0011153,P-002055,liability_pd,25000.0,200,68.43
CV-0011154,P-002055,collision,15000.0,400,45.85
CV-0011155,P-002055,comprehensive,15000.0,800,72.78
CV-0011156,P-002055,uninsured_motorist,25000.0,400,21.8
CV-0011157,P-002055,medical_payments,5000.0,200,29.41
CV-0011158,P-002056,liability_bi,50000.0,200,35.41
CV-0011159,P-002056,liability_pd,25000.0,200,38.25
CV-0011160,P-002056,collision,15000.0,800,36.95
CV-0011161,P-002056,comprehensive,15000.0,0,36.63
CV-0011162,P-002056,uninsured_motorist,25000.0,200,66.35
CV-0011163,P-002056,medical_payments,5000.0,400,22.01
CV-0011164,P-002057,liability_bi,50000.0,200,114.14
CV-0011165,P-002057,liability_pd,25000.0,0,41.35
CV-0011166,P-002057,collision,15000.0,200,43.66
CV-0011167,P-002057,comprehensive,15000.0,800,69.19
CV-0011168,P-002057,uninsured_motorist,25000.0,400,115.21
CV-0011169,P-002057,medical_payments,5000.0,800,37.14
CV-0011170,P-002058,liability_bi,50000.0,0,70.06
CV-0011171,P-002058,liability_pd,25000.0,400,64.26
CV-0011172,P-002058,collision,15000.0,200,49.83
CV-0011173,P-002058,comprehensive,15000.0,400,78.19
CV-0011174,P-002058,uninsured_motorist,25000.0,400,95.6
CV-0011175,P-002058,medical_payments,5000.0,400,104.91
CV-0011176,P-002059,dwelling,32008.59,1500,24.25
CV-0011177,P-002059,other_structures,3200.86,500,25.44
CV-0011178,P-002059,personal_property,6401.72,1000,45.38
CV-0011179,P-002059,loss_of_use,3200.86,1000,66.75
CV-0011180,P-002059,personal_liability,100000.0,250,67.91
CV-0011181,P-002059,medical_payments,5000.0,1500,57.29
CV-0011182,P-002060,personal_property,35000.0,250,51.78
CV-0011183,P-002060,liability,50000.0,100,63.9
CV-0011184,P-002060,loss_of_use,5000.0,250,32.9
CV-0011185,P-002061,liability_bi,50000.0,400,106.95
CV-0011186,P-002061,liability_pd,25000.0,400,88.66
CV-0011187,P-002061,collision,15000.0,400,113.47
CV-0011188,P-002061,comprehensive,15000.0,800,54.45
CV-0011189,P-002061,uninsured_motorist,25000.0,400,46.71
CV-0011190,P-002061,medical_payments,5000.0,200,70.5
CV-0011191,P-002062,liability_bi,50000.0,800,48.21
CV-0011192,P-002062,liability_pd,25000.0,800,65.5
CV-0011193,P-002062,collision,15000.0,400,23.12
CV-0011194,P-002062,comprehensive,15000.0,400,65.14
CV-0011195,P-002062,uninsured_motorist,25000.0,0,27.61
CV-0011196,P-002062,medical_payments,5000.0,400,22.34
CV-0011197,P-002063,liability_bi,50000.0,400,61.32
CV-0011198,P-002063,liability_pd,25000.0,800,47.07
CV-0011199,P-002063,collision,15000.0,400,75.28
CV-0011200,P-002063,comprehensive,15000.0,400,36.33
CV-0011201,P-002063,uninsured_motorist,25000.0,400,36.65
CV-0011202,P-002063,medical_payments,5000.0,200,67.26
CV-0011203,P-002064,liability_bi,50000.0,400,54.69
CV-0011204,P-002064,liability_pd,25000.0,400,55.58
CV-0011205,P-002064,collision,15000.0,200,56.71
CV-0011206,P-002064,comprehensive,15000.0,400,49.15
CV-0011207,P-002064,uninsured_motorist,25000.0,200,51.78
CV-0011208,P-002064,medical_payments,5000.0,800,24.67
CV-0011209,P-002065,liability_bi,50000.0,400,33.59
CV-0011210,P-002065,liability_pd,25000.0,0,55.59
CV-0011211,P-002065,collision,15000.0,200,73.0
CV-0011212,P-002065,comprehensive,15000.0,400,36.77
CV-0011213,P-002065,uninsured_motorist,25000.0,400,67.83
CV-0011214,P-002065,medical_payments,5000.0,400,68.97
CV-0011215,P-002066,liability_bi,50000.0,400,103.2
CV-0011216,P-002066,liability_pd,25000.0,800,96.39
CV-0011217,P-002066,collision,15000.0,800,82.62
CV-0011218,P-002066,comprehensive,15000.0,400,68.88
CV-0011219,P-002066,uninsured_motorist,25000.0,200,60.71
CV-0011220,P-002066,medical_payments,5000.0,400,96.64
CV-0011221,P-002067,personal_property,35000.0,250,36.93
CV-0011222,P-002067,liability,50000.0,250,63.49
CV-0011223,P-002067,loss_of_use,5000.0,500,41.69
CV-0011224,P-002068,liability_bi,50000.0,400,71.25
CV-0011225,P-002068,liability_pd,25000.0,400,34.33
CV-0011226,P-002068,collision,15000.0,200,81.51
CV-0011227,P-002068,comprehensive,15000.0,400,89.14
CV-0011228,P-002068,uninsured_motorist,25000.0,200,47.66
CV-0011229,P-002068,medical_payments,5000.0,400,61.27
CV-0011230,P-002069,dwelling,124566.55,500,73.55
CV-0011231,P-002069,other_structures,12456.66,250,42.16
CV-0011232,P-002069,personal_property,24913.31,1000,117.87
CV-0011233,P-002069,loss_of_use,12456.66,500,57.77
CV-0011234,P-002069,personal_liability,100000.0,1000,68.3
CV-0011235,P-002069,medical_payments,5000.0,500,53.67
CV-0011236,P-002070,liability_bi,50000.0,400,107.99
CV-0011237,P-002070,liability_pd,25000.0,400,32.32
CV-0011238,P-002070,collision,15000.0,400,87.93
CV-0011239,P-002070,comprehensive,15000.0,400,96.85
CV-0011240,P-002070,uninsured_motorist,25000.0,400,89.79
CV-0011241,P-002070,medical_payments,5000.0,200,30.9
CV-0011242,P-002071,building,4236221.83,5000,538.86
CV-0011243,P-002071,contents,142765.48,5000,753.99
CV-0011244,P-002071,business_interruption,1694488.73,5000,371.23
CV-0011245,P-002071,equipment_breakdown,847244.37,2500,293.37
CV-0011246,P-002071,liability,250000.0,5000,723.17
CV-0011247,P-002072,building,931190.65,1000,134.36
CV-0011248,P-002072,contents,974840.6,10000,241.38
CV-0011249,P-002072,business_interruption,372476.26,2500,189.16
CV-0011250,P-002072,equipment_breakdown,186238.13,1000,237.55
CV-0011251,P-002072,liability,250000.0,10000,216.96
CV-0011252,P-002073,building,2295636.47,5000,257.59
CV-0011253,P-002073,contents,54944.98,2500,490.89
CV-0011254,P-002073,business_interruption,918254.59,2500,414.11
CV-0011255,P-002073,equipment_breakdown,459127.29,2500,318.8
CV-0011256,P-002073,liability,250000.0,5000,232.92
CV-0011257,P-002074,liability_bi,50000.0,200,51.46
CV-0011258,P-002074,liability_pd,25000.0,200,23.65
CV-0011259,P-002074,collision,15000.0,200,71.17
CV-0011260,P-002074,comprehensive,15000.0,200,57.44
CV-0011261,P-002074,uninsured_motorist,25000.0,800,33.23
CV-0011262,P-002074,medical_payments,5000.0,400,54.25
CV-0011263,P-002075,liability_bi,50000.0,200,61.64
CV-0011264,P-002075,liability_pd,25000.0,200,49.01
CV-0011265,P-002075,collision,15000.0,400,97.02
CV-0011266,P-002075,comprehensive,15000.0,200,33.51
CV-0011267,P-002075,uninsured_motorist,25000.0,200,52.46
CV-0011268,P-002075,medical_payments,5000.0,400,45.7
CV-0011269,P-002076,liability_bi,50000.0,0,97.41
CV-0011270,P-002076,liability_pd,25000.0,800,43.2
CV-0011271,P-002076,collision,15000.0,200,49.36
CV-0011272,P-002076,comprehensive,15000.0,400,75.66
CV-0011273,P-002076,uninsured_motorist,25000.0,0,43.18
CV-0011274,P-002076,medical_payments,5000.0,400,53.36
CV-0011275,P-002077,personal_property,35000.0,100,63.21
CV-0011276,P-002077,liability,50000.0,100,62.29
CV-0011277,P-002077,loss_of_use,5000.0,100,43.71
CV-0011278,P-002078,liability_bi,50000.0,200,41.19
CV-0011279,P-002078,liability_pd,25000.0,0,99.43
CV-0011280,P-002078,collision,15000.0,200,88.88
CV-0011281,P-002078,comprehensive,15000.0,800,46.73
CV-0011282,P-002078,uninsured_motorist,25000.0,400,36.27
CV-0011283,P-002078,medical_payments,5000.0,200,58.11
CV-0011284,P-002079,dwelling,43668.79,500,52.12
CV-0011285,P-002079,other_structures,4366.88,1500,36.63
CV-0011286,P-002079,personal_property,8733.76,500,69.33
CV-0011287,P-002079,loss_of_use,4366.88,250,50.76
CV-0011288,P-002079,personal_liability,100000.0,500,74.67
CV-0011289,P-002079,medical_payments,5000.0,500,74.29
CV-0011290,P-002080,liability_bi,50000.0,800,69.14
CV-0011291,P-002080,liability_pd,25000.0,800,68.23
CV-0011292,P-002080,collision,15000.0,200,44.16
CV-0011293,P-002080,comprehensive,15000.0,200,76.76
CV-0011294,P-002080,uninsured_motorist,25000.0,400,86.67
CV-0011295,P-002080,medical_payments,5000.0,200,111.5
CV-0011296,P-002081,liability_bi,50000.0,200,102.16
CV-0011297,P-002081,liability_pd,25000.0,800,145.23
CV-0011298,P-002081,collision,15000.0,400,125.24
CV-0011299,P-002081,comprehensive,15000.0,400,63.0
CV-0011300,P-002081,uninsured_motorist,25000.0,400,136.5
CV-0011301,P-002081,medical_payments,5000.0,800,142.16
CV-0011302,P-002082,dwelling,173130.43,500,132.64
CV-0011303,P-002082,other_structures,17313.04,250,107.16
CV-0011304,P-002082,personal_property,34626.09,1000,79.17
CV-0011305,P-002082,loss_of_use,17313.04,500,109.64
CV-0011306,P-002082,personal_liability,100000.0,1000,61.01
CV-0011307,P-002082,medical_payments,5000.0,250,150.03
CV-0011308,P-002083,dwelling,86853.68,500,97.91
CV-0011309,P-002083,other_structures,8685.37,1000,58.1
CV-0011310,P-002083,personal_property,17370.74,500,108.96
CV-0011311,P-002083,loss_of_use,8685.37,1000,111.97
CV-0011312,P-002083,personal_liability,100000.0,1000,55.19
CV-0011313,P-002083,medical_payments,5000.0,500,90.68
CV-0011314,P-002084,liability_bi,50000.0,0,70.63
CV-0011315,P-002084,liability_pd,25000.0,200,77.65
CV-0011316,P-002084,collision,15000.0,200,68.92
CV-0011317,P-002084,comprehensive,15000.0,400,101.73
CV-0011318,P-002084,uninsured_motorist,25000.0,200,99.35
CV-0011319,P-002084,medical_payments,5000.0,0,78.4
CV-0011320,P-002085,liability_bi,50000.0,0,109.12
CV-0011321,P-002085,liability_pd,25000.0,400,119.85
CV-0011322,P-002085,collision,15000.0,400,99.18
CV-0011323,P-002085,comprehensive,15000.0,0,81.89
CV-0011324,P-002085,uninsured_motorist,25000.0,400,126.68
CV-0011325,P-002085,medical_payments,5000.0,200,122.53
CV-0011326,P-002086,dwelling,107858.13,500,107.44
CV-0011327,P-002086,other_structures,10785.81,500,53.45
CV-0011328,P-002086,personal_property,21571.63,500,100.9
CV-0011329,P-002086,loss_of_use,10785.81,500,90.58
CV-0011330,P-002086,personal_liability,100000.0,1000,61.71
CV-0011331,P-002086,medical_payments,5000.0,1500,90.99
CV-0011332,P-002087,building,149888.42,5000,63.94
CV-0011333,P-002087,contents,163495.23,1000,39.65
CV-0011334,P-002087,business_interruption,59955.37,5000,74.81
CV-0011335,P-002087,equipment_breakdown,29977.68,1000,86.75
CV-0011336,P-002087,liability,250000.0,2500,123.54
CV-0011337,P-002088,dwelling,136951.01,500,125.6
CV-0011338,P-002088,other_structures,13695.1,250,109.51
CV-0011339,P-002088,personal_property,27390.2,1500,76.17
CV-0011340,P-002088,loss_of_use,13695.1,500,138.06
CV-0011341,P-002088,personal_liability,100000.0,1000,65.08
CV-0011342,P-002088,medical_payments,5000.0,500,138.26
CV-0011343,P-002089,liability_bi,50000.0,200,76.93
CV-0011344,P-002089,liability_pd,25000.0,200,61.62
CV-0011345,P-002089,collision,15000.0,200,36.9
CV-0011346,P-002089,comprehensive,15000.0,400,57.92
CV-0011347,P-002089,uninsured_motorist,25000.0,400,64.8
CV-0011348,P-002089,medical_payments,5000.0,200,56.08
CV-0011349,P-002090,liability_bi,50000.0,200,35.18
CV-0011350,P-002090,liability_pd,25000.0,200,56.56
CV-0011351,P-002090,collision,15000.0,400,46.2
CV-0011352,P-002090,comprehensive,15000.0,400,29.91
CV-0011353,P-002090,uninsured_motorist,25000.0,200,78.21
CV-0011354,P-002090,medical_payments,5000.0,800,30.3
CV-0011355,P-002091,building,4297105.24,1000,863.36
CV-0011356,P-002091,contents,2433379.99,1000,1098.05
CV-0011357,P-002091,business_interruption,1718842.1,2500,902.7
CV-0011358,P-002091,equipment_breakdown,859421.05,2500,911.02
CV-0011359,P-002091,liability,250000.0,2500,411.94
CV-0011360,P-002092,liability_bi,50000.0,400,45.94
CV-0011361,P-002092,liability_pd,25000.0,400,44.03
CV-0011362,P-002092,collision,15000.0,200,66.14
CV-0011363,P-002092,comprehensive,15000.0,200,52.77
CV-0011364,P-002092,uninsured_motorist,25000.0,400,34.23
CV-0011365,P-002092,medical_payments,5000.0,400,63.44
CV-0011366,P-002093,building,2360991.16,1000,556.29
CV-0011367,P-002093,contents,1091664.99,2500,238.53
CV-0011368,P-002093,business_interruption,944396.46,5000,489.79
CV-0011369,P-002093,equipment_breakdown,472198.23,1000,599.47
CV-0011370,P-002093,liability,250000.0,5000,364.32
CV-0011371,P-002094,liability_bi,50000.0,800,62.06
CV-0011372,P-002094,liability_pd,25000.0,400,49.21
CV-0011373,P-002094,collision,15000.0,200,68.23
CV-0011374,P-002094,comprehensive,15000.0,400,55.03
CV-0011375,P-002094,uninsured_motorist,25000.0,800,80.29
CV-0011376,P-002094,medical_payments,5000.0,200,42.63
CV-0011377,P-002095,liability_bi,50000.0,800,65.85
CV-0011378,P-002095,liability_pd,25000.0,400,75.3
CV-0011379,P-002095,collision,15000.0,200,49.27
CV-0011380,P-002095,comprehensive,15000.0,200,24.94
CV-0011381,P-002095,uninsured_motorist,25000.0,200,32.62
CV-0011382,P-002095,medical_payments,5000.0,400,35.17
CV-0011383,P-002096,dwelling,50521.9,1500,34.89
CV-0011384,P-002096,other_structures,5052.19,500,85.06
CV-0011385,P-002096,personal_property,10104.38,500,42.19
CV-0011386,P-002096,loss_of_use,5052.19,500,81.31
CV-0011387,P-002096,personal_liability,100000.0,500,86.68
CV-0011388,P-002096,medical_payments,5000.0,250,43.39
CV-0011389,P-002097,dwelling,89810.62,1000,106.36
CV-0011390,P-002097,other_structures,8981.06,500,62.29
CV-0011391,P-002097,personal_property,17962.12,500,44.43
CV-0011392,P-002097,loss_of_use,8981.06,500,99.67
CV-0011393,P-002097,personal_liability,100000.0,1000,62.0
CV-0011394,P-002097,medical_payments,5000.0,500,69.3
CV-0011395,P-002098,liability_bi,50000.0,800,95.88
CV-0011396,P-002098,liability_pd,25000.0,400,51.06
CV-0011397,P-002098,collision,15000.0,400,55.29
CV-0011398,P-002098,comprehensive,15000.0,200,95.11
CV-0011399,P-002098,uninsured_motorist,25000.0,200,34.68
CV-0011400,P-002098,medical_payments,5000.0,0,54.08
CV-0011401,P-002099,liability_bi,50000.0,200,24.75
CV-0011402,P-002099,liability_pd,25000.0,400,30.69
CV-0011403,P-002099,collision,15000.0,400,49.61
CV-0011404,P-002099,comprehensive,15000.0,400,36.25
CV-0011405,P-002099,uninsured_motorist,25000.0,800,27.95
CV-0011406,P-002099,medical_payments,5000.0,400,64.38
CV-0011407,P-002100,personal_property,15000.0,100,36.65
CV-0011408,P-002100,liability,50000.0,250,17.57
CV-0011409,P-002100,loss_of_use,5000.0,100,25.18
CV-0011410,P-002101,dwelling,128586.3,500,82.77
CV-0011411,P-002101,other_structures,12858.63,500,116.25
CV-0011412,P-002101,personal_property,25717.26,500,98.32
CV-0011413,P-002101,loss_of_use,12858.63,500,97.1
CV-0011414,P-002101,personal_liability,100000.0,1000,48.47
CV-0011415,P-002101,medical_payments,5000.0,500,75.27
CV-0011416,P-002102,building,666585.78,1000,113.21
CV-0011417,P-002102,contents,1306514.49,5000,180.38
CV-0011418,P-002102,business_interruption,266634.31,5000,137.29
CV-0011419,P-002102,equipment_breakdown,133317.16,5000,308.52
CV-0011420,P-002102,liability,250000.0,1000,139.66
CV-0011421,P-002103,personal_property,15000.0,100,33.28
CV-0011422,P-002103,liability,50000.0,500,21.04
CV-0011423,P-002103,loss_of_use,5000.0,250,28.17
CV-0011424,P-002104,building,3875154.72,1000,517.62
CV-0011425,P-002104,contents,583887.2,10000,412.48
CV-0011426,P-002104,business_interruption,1550061.89,2500,438.15
CV-0011427,P-002104,equipment_breakdown,775030.94,10000,417.74
CV-0011428,P-002104,liability,250000.0,2500,622.41
CV-0011429,P-002105,dwelling,63190.13,500,68.87
CV-0011430,P-002105,other_structures,6319.01,500,35.46
CV-0011431,P-002105,personal_property,12638.03,250,64.36
CV-0011432,P-002105,loss_of_use,6319.01,500,47.24
CV-0011433,P-002105,personal_liability,100000.0,250,77.97
CV-0011434,P-002105,medical_payments,5000.0,1000,53.29
CV-0011435,P-002106,liability_bi,50000.0,0,100.92
CV-0011436,P-002106,liability_pd,25000.0,400,52.13
CV-0011437,P-002106,collision,15000.0,800,76.13
CV-0011438,P-002106,comprehensive,15000.0,800,82.56
CV-0011439,P-002106,uninsured_motorist,25000.0,200,88.45
CV-0011440,P-002106,medical_payments,5000.0,200,56.42
CV-0011441,P-002107,dwelling,50731.97,500,49.7
CV-0011442,P-002107,other_structures,5073.2,250,60.16
CV-0011443,P-002107,personal_property,10146.39,500,29.37
CV-0011444,P-002107,loss_of_use,5073.2,250,33.95
CV-0011445,P-002107,personal_liability,100000.0,500,72.11
CV-0011446,P-002107,medical_payments,5000.0,1000,81.15
CV-0011447,P-002108,dwelling,112078.96,1000,113.0
CV-0011448,P-002108,other_structures,11207.9,250,103.14
CV-0011449,P-002108,personal_property,22415.79,250,80.84
CV-0011450,P-002108,loss_of_use,11207.9,1000,65.46
CV-0011451,P-002108,personal_liability,100000.0,1000,125.78
CV-0011452,P-002108,medical_payments,5000.0,250,117.54
CV-0011453,P-002109,personal_property,35000.0,100,54.27
CV-0011454,P-002109,liability,50000.0,250,31.19
CV-0011455,P-002109,loss_of_use,5000.0,100,51.89
CV-0011456,P-002110,liability_bi,50000.0,400,46.06
CV-0011457,P-002110,liability_pd,25000.0,0,30.98
CV-0011458,P-002110,collision,15000.0,800,30.88
CV-0011459,P-002110,comprehensive,15000.0,800,46.62
CV-0011460,P-002110,uninsured_motorist,25000.0,800,51.79
CV-0011461,P-002110,medical_payments,5000.0,0,63.27
CV-0011462,P-002111,liability_bi,50000.0,400,54.92
CV-0011463,P-002111,liability_pd,25000.0,400,34.3
CV-0011464,P-002111,collision,15000.0,400,92.23
CV-0011465,P-002111,comprehensive,15000.0,200,62.51
CV-0011466,P-002111,uninsured_motorist,25000.0,200,31.32
CV-0011467,P-002111,medical_payments,5000.0,800,63.21
CV-0011468,P-002112,dwelling,61780.28,250,42.89
CV-0011469,P-002112,other_structures,6178.03,500,36.57
CV-0011470,P-002112,personal_property,12356.06,500,50.46
CV-0011471,P-002112,loss_of_use,6178.03,1000,46.25
CV-0011472,P-002112,personal_liability,100000.0,500,71.52
CV-0011473,P-002112,medical_payments,5000.0,1000,74.65
CV-0011474,P-002113,liability_bi,50000.0,200,40.55
CV-0011475,P-002113,liability_pd,25000.0,400,100.23
CV-0011476,P-002113,collision,15000.0,200,83.75
CV-0011477,P-002113,comprehensive,15000.0,200,47.77
CV-0011478,P-002113,uninsured_motorist,25000.0,400,103.2
CV-0011479,P-002113,medical_payments,5000.0,400,60.81
CV-0011480,P-002114,dwelling,43559.43,1500,37.47
CV-0011481,P-002114,other_structures,4355.94,250,41.24
CV-0011482,P-002114,personal_property,8711.89,1000,34.29
CV-0011483,P-002114,loss_of_use,4355.94,250,27.56
CV-0011484,P-002114,personal_liability,100000.0,250,35.55
CV-0011485,P-002114,medical_payments,5000.0,1000,25.79
CV-0011486,P-002115,liability_bi,50000.0,800,23.06
CV-0011487,P-002115,liability_pd,25000.0,200,43.75
CV-0011488,P-002115,collision,15000.0,200,49.47
CV-0011489,P-002115,comprehensive,15000.0,200,42.5
CV-0011490,P-002115,uninsured_motorist,25000.0,400,46.86
CV-0011491,P-002115,medical_payments,5000.0,800,20.48
CV-0011492,P-002116,liability_bi,50000.0,200,95.68
CV-0011493,P-002116,liability_pd,25000.0,400,99.52
CV-0011494,P-002116,collision,15000.0,200,62.25
CV-0011495,P-002116,comprehensive,15000.0,400,88.43
CV-0011496,P-002116,uninsured_motorist,25000.0,200,95.43
CV-0011497,P-002116,medical_payments,5000.0,400,94.62
CV-0011498,P-002117,personal_property,25000.0,250,49.95
CV-0011499,P-002117,liability,50000.0,250,51.27
CV-0011500,P-002117,loss_of_use,5000.0,500,51.89
CV-0011501,P-002118,dwelling,97860.77,500,35.54
CV-0011502,P-002118,other_structures,9786.08,500,96.03
CV-0011503,P-002118,personal_property,19572.15,250,85.0
CV-0011504,P-002118,loss_of_use,9786.08,1000,99.67
CV-0011505,P-002118,personal_liability,100000.0,500,111.45
CV-0011506,P-002118,medical_payments,5000.0,1000,77.19
CV-0011507,P-002119,building,324440.27,5000,87.14
CV-0011508,P-002119,contents,408951.84,1000,168.56
CV-0011509,P-002119,business_interruption,129776.11,5000,91.64
CV-0011510,P-002119,equipment_breakdown,64888.05,2500,80.24
CV-0011511,P-002119,liability,250000.0,1000,112.8
CV-0011512,P-002120,dwelling,94937.85,500,56.36
CV-0011513,P-002120,other_structures,9493.78,500,126.33
CV-0011514,P-002120,personal_property,18987.57,500,96.06
CV-0011515,P-002120,loss_of_use,9493.78,1000,100.62
CV-0011516,P-002120,personal_liability,100000.0,1500,51.21
CV-0011517,P-002120,medical_payments,5000.0,500,62.89
CV-0011518,P-002121,liability_bi,50000.0,400,25.33
CV-0011519,P-002121,liability_pd,25000.0,400,62.08
CV-0011520,P-002121,collision,15000.0,200,59.46
CV-0011521,P-002121,comprehensive,15000.0,200,65.03
CV-0011522,P-002121,uninsured_motorist,25000.0,200,59.6
CV-0011523,P-002121,medical_payments,5000.0,0,27.95
CV-0011524,P-002122,dwelling,76999.59,1500,64.56
CV-0011525,P-002122,other_structures,7699.96,500,48.91
CV-0011526,P-002122,personal_property,15399.92,500,81.34
CV-0011527,P-002122,loss_of_use,7699.96,500,90.89
CV-0011528,P-002122,personal_liability,100000.0,500,76.93
CV-0011529,P-002122,medical_payments,5000.0,250,42.8
CV-0011530,P-002123,liability_bi,50000.0,200,50.59
CV-0011531,P-002123,liability_pd,25000.0,200,59.97
CV-0011532,P-002123,collision,15000.0,400,70.18
CV-0011533,P-002123,comprehensive,15000.0,0,67.15
CV-0011534,P-002123,uninsured_motorist,25000.0,400,50.79
CV-0011535,P-002123,medical_payments,5000.0,200,56.93
CV-0011536,P-002124,dwelling,90790.01,1000,44.18
CV-0011537,P-002124,other_structures,9079.0,1000,107.32
CV-0011538,P-002124,personal_property,18158.0,1500,45.65
CV-0011539,P-002124,loss_of_use,9079.0,1500,53.67
CV-0011540,P-002124,personal_liability,100000.0,1500,64.1
CV-0011541,P-002124,medical_payments,5000.0,500,44.27
CV-0011542,P-002125,building,1469006.42,5000,219.22
CV-0011543,P-002125,contents,800309.95,2500,231.39
CV-0011544,P-002125,business_interruption,587602.57,5000,228.99
CV-0011545,P-002125,equipment_breakdown,293801.28,1000,222.94
CV-0011546,P-002125,liability,250000.0,10000,228.03
CV-0011547,P-002126,personal_property,15000.0,500,15.5
CV-0011548,P-002126,liability,50000.0,100,33.68
CV-0011549,P-002126,loss_of_use,5000.0,250,17.82
CV-0011550,P-002127,building,1285923.73,2500,468.78
CV-0011551,P-002127,contents,1714666.51,5000,379.86
CV-0011552,P-002127,business_interruption,514369.49,2500,215.62
CV-0011553,P-002127,equipment_breakdown,257184.75,2500,235.04
CV-0011554,P-002127,liability,250000.0,1000,159.19
CV-0011555,P-002128,liability_bi,50000.0,200,43.96
CV-0011556,P-002128,liability_pd,25000.0,800,77.31
CV-0011557,P-002128,collision,15000.0,400,64.44
CV-0011558,P-002128,comprehensive,15000.0,400,69.28
CV-0011559,P-002128,uninsured_motorist,25000.0,400,38.64
CV-0011560,P-002128,medical_payments,5000.0,800,56.81
CV-0011561,P-002129,liability_bi,50000.0,800,44.91
CV-0011562,P-002129,liability_pd,25000.0,200,61.48
CV-0011563,P-002129,collision,15000.0,800,60.27
CV-0011564,P-002129,comprehensive,15000.0,400,48.61
CV-0011565,P-002129,uninsured_motorist,25000.0,0,43.01
CV-0011566,P-002129,medical_payments,5000.0,0,25.24
CV-0011567,P-002130,dwelling,62771.62,1000,26.86
CV-0011568,P-002130,other_structures,6277.16,500,44.23
CV-0011569,P-002130,personal_property,12554.32,500,80.68
CV-0011570,P-002130,loss_of_use,6277.16,250,81.85
CV-0011571,P-002130,personal_liability,100000.0,1000,57.38
CV-0011572,P-002130,medical_payments,5000.0,1000,72.41
CV-0011573,P-002131,personal_property,15000.0,250,17.83
CV-0011574,P-002131,liability,50000.0,100,23.41
